name,address,lat,lot
천리포해수욕장,대한민국 충청남도 태안군 소원면 의항리 978-7,36.8019873,126.1499038
난지도 해수욕장,대한민국 충청남도 당진시 석문면 난지도리 665,37.0467397,126.4229861
임랑해수욕장,대한민국 부산광역시 기장군 장안읍 임랑리 1-48,35.3186849,129.2654601
몽여해변,대한민국 인천광역시 중구 무의동 849-2,37.3731588,126.4456289
백리포해수욕장,대한민국 충청남도 태안군 소원면 의항리 488-1,36.81205,126.1543123
꾸지나무골해수욕장,대한민국 충청남도 태안군 이원면 내리 산172,36.9352262,126.292429
해운대 해수욕장,대한민국 부산광역시,35.1576744,129.1621473
광안리해수욕장,대한민국 부산광역시,35.1508871,129.1190813
낙산해수욕장,대한민국 강원도 양양군,38.1154827,128.6375117
설악해수욕장,대한민국 강원도 양양군 강현면 동해대로 3254,38.1300848,128.6234731
하조대 해수욕장,대한민국 강원도 양양군 현북면 하조대해안길 35,38.0231112,128.7253729
일산해수욕장,대한민국 울산광역시 동구 일산동 860-13,35.4956097,129.4320786
진하해수욕장,대한민국 울산광역시 울주군 서생면 진하해변길,35.3834168,129.3463184
속초해변,대한민국 강원도 속초시 조양동 1466-19,38.1882547,128.6057462
외옹치해변,대한민국 강원도 속초시 대포동 585-4,38.1836684,128.6089738
청호해수욕장,대한민국 강원도 속초시 청호동 550-13,38.2039399,128.5951991
물치해수욕장,대한민국 강원도 양양군 강현면 물치리 7-17,38.1532368,128.6088054
정암해수욕장,대한민국 강원도 양양군 강현면 정암리 153-5,38.1383171,128.6166032
함덕해수욕장,대한민국 제주특별자치도 제주시 조천읍 함덕리 산14-1,33.5432311,126.6698583
덕포해수욕장,대한민국 경상남도 거제시 덕포동 365-15 덕포해수욕장,34.9119346,128.7121494
우뭇개해안,대한민국 제주특별자치도 서귀포시 성산읍 성산리 104-1,33.4619992,126.9389048
중문색달해수욕장,대한민국 제주특별자치도 서귀포시 색달동 3039-45,33.2448506,126.4103336
돌틈이해수욕장,대한민국 경상남도 거제시 남부면 갈곶리 368,34.7395925,128.6559078
구조라해수욕장,대한민국 경상남도 거제시 일운면 구조라리 500-1,34.8081012,128.6895749
산호-홍조단괴-해빈,대한민국 제주특별자치도 제주시 우도면 연평리 2565-1,33.5019104,126.9427114
사곡해수욕장,대한민국 경상남도 거제시 모래실길 19,34.8989749,128.5725581
우도홍조단괴해변,대한민국 제주특별자치도 제주시 우도면 연평리 2469,33.5050744,126.9415002
하고수동 해수욕장,대한민국 제주특별자치도 제주시 우도면 연평리 682-1,33.5128476,126.9590363
마시안해변,대한민국 인천광역시 중구 마시란로 61,37.4271023,126.4181855
검멀레 해수욕장,,33.4972094,126.9670787
감지해변,대한민국 부산광역시 영도구 동삼동 1052-6,35.0605541,129.0765802
돌목해변,대한민국 전라남도 진도군 조도면 가사도돌목길 205,34.4701261,126.0417857
을왕리해수욕장,대한민국 인천광역시 중구 을왕로13번길 12,37.4468109,126.3716366
왕산해수욕장,,37.455389,126.3678391
무창포 해수욕장,대한민국 충청남도 보령시 웅천읍 관당리 833-4,36.2434554,126.5337321
지리청송해변,대한민국 전라남도 완도군 청산면 지리 970-5,34.1960407,126.8612861
곽지해수욕장야영장,대한민국 제주특별자치도 제주시 애월읍 곽지리 1565,33.4512178,126.3051439
이호테우해변,대한민국 제주특별자치도 제주시 이호일동 1781-6,33.4976683,126.4518711
모진이몽돌해변,대한민국 제주특별자치도 제주시 추자면 신양리 56-1,33.9456712,126.3346179
남항진해변,대한민국 강원도 강릉시 공항길127번길 67,37.7637144,128.9555869
남열 해돋이 해수욕장,대한민국 전라남도 고흥군 영남면 남열리 175-2,34.5803171,127.4874128
월정리 해수욕장,대한민국 제주특별자치도 제주시 구좌읍 월정리 3-2,33.5560608,126.7968492
제부도해수욕장,대한민국 경기도 화성시 서신면 제부리 190-291,37.1656407,126.6182363
와현모래숲해수욕장,대한민국 경상남도 거제시 일운면 와현리 364-2,34.8127918,128.707378
동명해수욕장,대한민국 강원도 강릉시 강동면 정동진리 460,37.704078,129.0175529
옥계 해수욕장,대한민국 강원도 강릉시 옥계면 금진리 산105-7,37.6302946,129.0484225
도작 해수욕장,대한민국 강원도 강릉시 옥계면 도직리 97-19,37.6096425,129.0684762
망상 해수욕장,대한민국 강원도 동해시 동해대로 6270-27,37.5942455,129.090016
노봉 해수욕장,대한민국 강원도 동해시 망상동 167-1,37.5864581,129.1017748
맹방 해수욕장,대한민국 강원도 삼척시 근덕면 하맹방리 221-12,37.3889411,129.2348931
원평 해수욕장,대한민국 강원도 삼척시 근덕면 매원리 81-6,37.3196228,129.272487
용화 해수욕장,대한민국 강원도 삼척시 근덕면 용화리 14-5,37.2905597,129.3032144
신남 해수욕장,대한민국 강원도 삼척시 원덕읍 갈남리 506-13,37.2647497,129.3273194
