mountains/name,mountains/address,mountains/altitude,mountains/lot,mountains/lat
가리산,"강원도 춘천시 북산면ㆍ동면, 홍천군 두촌면ㆍ화촌면",1051,127.956485,37.871353
가리왕산,"강원도 정선군 정선읍 회동리ㆍ북평면, 평창군 진부면",1561,128.56275,37.460995
가야산,"경상남도 합천군ㆍ거창군, 경상북도 성주군",1430,128.122518,35.822563
가지산,"울산광역시 울주군, 경상북도 청도군, 경상남도 밀양시",1240,129.003523,35.619875
감악산,"경기도 파주시 적성면, 양주시 남면, 연천군 전곡읍",675,126.969989,37.941082
강천산,"전라북도 순창군 팔덕면, 전라남도 담양군 용면",584,127.034392,35.388214
계룡산,"대전광역시, 충청남도 공주시 계룡면, 논산시 상월면, 계룡시 신도안면",845,127.210292,36.361424
계방산,"강원도 홍천군 내면, 평창군 용편면ㆍ진부면",1577,128.46543,37.728268
공작산,"강원도 홍천군 동면, 화촌면",887,128.0105456,37.71593923
관악산,"서울특별시 관악구, 경기도 안양시, 과천시",629,126.964223,37.445044
구병산,"충청북도 보은군 마로면ㆍ속리산면, 경상북도 상주신 화북면, ",877,127.8625301,36.46989438
금산,"경상남도 남해군 상주면, 이동면, 삼동면",701,127.982936,34.753803
금수산,"충청북도 제천시 수산면, 단양군 적성면",1016,128.256761,36.985009
금오산,"경상북도 구미시 칠곡군 북삼읍, 김천시 남면",977,128.300054,36.092833
금정산,"부산광역시 금정구ㆍ북구, 경상남도 양산시",802,129.050542,35.280118
깃대봉,전라남도 신안군 흑산면 홍도,368,125.205139,34.699941
남산,"경상북도 경주시 남산동, 내남면",468,129.225369,35.767661
내연산,"경상북도 포항시 송라면ㆍ청하면ㆍ죽장면, 영덕군 남정면",710,129.258523,36.263301
내장산,"전라북도 정읍시 내장동, 순창군 쌍치면ㆍ복흥면",763,126.888994,35.478299
대둔산,"충청남도 논산시 벌곡면ㆍ금산군 진산면, 전라북도 완주군 운주면",878,127.323071,36.126556
대암산,"강원도 양구군 동면, 인제군 서화면",1304,128.13481,38.21087
대야산,"경상북도 문경시 가은읍, 충청북도 괴산군 청천면",931,127.96407,36.649026
덕숭산,충청남도 예산군 덕산면,495,126.624461,36.671737
덕유산,"전라북도 무주군ㆍ장수군, 경상남도 거창군ㆍ함양군",1614,127.746381,35.85990274
덕항산,"강원도 삼척시 신기면, 태백시 하사미동",1071,129.001612,37.318296
도락산,"충청북도 단양군  단성면, 대강면",964,128.311091,36.856368
도봉산,"서울특별시 도봉구, 경기도 의정부시 호원동ㆍ양주시 장흥면",740,127.01547,37.69883
두륜산,전라남도 해남군 삼산면ㆍ북일면ㆍ북평면ㆍ현산면,703,126.637535,34.471848
두타산,"강원도 동해시 삼화동, 삼척시 미로면ㆍ하장면",1353,128.9734669,37.43445721
마니산,인천광역시 강화군 화도면,469,126.436401,37.612745
마이산,전라북도 진안군 진안읍ㆍ마령면,686,127.411233,35.760484
명성산,"강원도 철원군 갈말읍, 경기도 포천시 영북면ㆍ이동면",923,127.337617,38.090196
명지산,경기도 가평군 북면ㆍ하면,1267,127.4325174,37.94024567
모악산,"전라북도 김제시 금산면, 전주시 완산구, 완주군 구이면",794,127.084721,35.728678
무등산,"광주광역시 동구, 전라남도 담양군 남면ㆍ화순군 이서면",1187,127.00283,35.121098
무학산,경상남도 창원시 교방동ㆍ두척동ㆍ내서읍,761,128.535362,35.210231
미륵산,경상남도 통영시 산양읍ㆍ봉평동,461,128.41628,34.810512
